Rue du Neuf Septembre 1867	Rue du 9 septembre 1867
Rue du Dix Septembre	Rue du 10 septembre
Rue du Dix Octobre	Rue du 10 octobre
Rue du Onze Septembre	Rue du 11 septembre
Rue Ste Irmine	Rue Sainte-Irmine
Avenue John F.Kennedy 	Avenue John F. Kennedy
Impasse de l’Industrie	Impasse de l'Industrie
Rue du Cents	Rue Cents
Rue Lentz	Rue Michel Lentz
Ruckesch-Gässel	Rue Joseph Ruckert
Schank	Am Schank
Zone d'Activité Économique route de Bettel	Zone d'Activité Économique Route de Bettel
Am Weidendall	Weidendall
Rue de Michelshof	Rue Michelshof
Syrdallschlass	Syrdall Schlass
Rue Belle Vue	Rue Bellevue
Brücherhof	Brücherhaff
Grewenhaff	Grevenhaff
Hossenberg	Hossebierg
Im Kohn	Koon
Am Reisselt	Reisselt
Kraitchen	Kräitchen
Kahlbacherhaff	Kuelbecherhaff
Barrière	Reckener Barriär
Allroudeschhof	Alrodeschhaff
Neiroudeschhof	Neirodeschhaff
Ferme de Michelshof	Michelshof
Am ale Bësch	Um Ale Bësch
Ferme (Waldhof)	Waldhaff
Cité Altburg	Parc Altburg
Goelt	Gëlt
Um Konerhaff	Konerhaff
Op Lauterbur	Lauterbur
Rue Gregoire Schouppe	Rue Grégoire Schouppe
Feelzmillen	Fielsmillen
Rue Hicht	Op der Hicht
Ferme Rouge	Roudenhaff
Rue Dolibois	Rue John E. Dolibois
Rue Source Belval	Rue Source Bel-Val
Kouelesgrond	Kuelesgrond
Bacher Jang	Bache Jang
Friidhaff	Fridhaff
Schuettbuerger Millen	Schüttbuerger Millen
Boureck	Am Buereck
Château d'Ansembourg	Nouveau Château d'Ansembourg
Vieux Château	Vieux Château d'Ansembourg
Buurghaff	Buerghaff
Nagemerhof	Nogemerhaff
Schaerfenhaff	Scherfenhaff
Toutschemillen	Tutschemillen
Bruchermuhle	Brichermillen
Ferme de Lorentzscheuer	Luerenzscheierhaff
Oligsmuehle	Ueligsmillen
Op Barken	Rue Op Barken
Pleitringerhof	Pleitréngerhaff
Brucherhof	Bricherhaff
Kockebierg	Kokebierg
Op der Rénk	Op der Renk
Kockebierg	Kokebierg
Goberhof	Goberhaff
Geessbreckerwee	Geessbréckerwee
